Year,Day,Number,TrackName,ArtistName
2008,1,01,「恋せよ女の子」～「アノネ～まみむめ☆もがちょ」,水樹奈々+田村ゆかり
2008,1,02,童話迷宮,田村ゆかり
2008,1,03,バンビーノ・バンビーナ,田村ゆかり
2008,1,04,めろ～んのテーマ～ゆかり王国国歌,田村ゆかり
2008,1,05,STRIKE WITCHES～わたしにできること～,石田燿子
2008,1,06,永遠の花,石田燿子
2008,1,07,サクラサクミライコイユメ,yozuca*
2008,1,08,Morning - sugar rays,yozuca*
2008,1,09,センチメンタル,CooRie
2008,1,10,存在,CooRie
2008,1,11,DIVE INTO STREAM,m.o.v.e
2008,1,12,Gamble Rumble,m.o.v.e
2008,1,13,ZERO,AAA
2008,1,14,Climax Jump,AAA
2008,1,15,Over The Future,可憐Gir'ls
2008,1,16,nowhere,savage genius+茅原実里+yozuca*
2008,1,17,JUST TUNE,savage genius
2008,1,18,想いを奏でて,savage genius
2008,1,19,創聖のアクエリオン,AKINO from bless4
2008,1,20,Go Tight！,AKINO from bless4
2008,1,21,慟哭ノ雨,GRANRODEO
2008,1,22,ケンゼンな本能,GRANRODEO
2008,1,23,Love Jump,栗林みな実
2008,1,24,Next Season,栗林みな実
2008,1,25,Shining☆Days,栗林みな実
2008,1,26,haunting Melody,Suara
2008,1,27,星座,Suara
2008,1,28,詩人の旅 from Contact,茅原実里
2008,1,29,雨上がりの花よ咲け,茅原実里
2008,1,30,雪、無音、窓辺にて。,茅原実里
2008,1,31,輪舞-revolution,奥井雅美+茅原実里
2008,1,32,INSANITY,奥井雅美
2008,1,33,コトダマ,ALI PROJECT
2008,1,34,愛と誠,ALI PROJECT
2008,1,35,わが﨟たし悪の華,ALI PROJECT
2008,1,36,残光のガイア,水樹奈々
2008,1,37,Dancing in the velvet moon,水樹奈々
2008,1,38,Pray,水樹奈々
2008,1,39,ETERNAL BLAZE,水樹奈々+宝野アリカ
2008,1,40,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト
2008,1,41,Generation-A,アニサマ2008出演アーティスト
2008,1,42,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト
2008,2,01,思い出はおっくせんまん!,JAM Project+美郷あき
2008,2,02,BLOOD QUEEN,美郷あき
2008,2,03,君が空だった,美郷あき
2008,2,04,euphoric field,ELISA
2008,2,05,HIKARI,ELISA
2008,2,06,ハッピー☆マテリアル[ドメラバstyle],ドメスティック・ラヴバンド
2008,2,07,Shangri-La[ドメラバstyle],ドメスティック・ラヴバンド
2008,2,08,朝と夜の物語,Sound Horizon
2008,2,09,奴隷市場,Sound Horizon
2008,2,10,聖戦のイベリアメドレー,Sound Horizon
2008,2,11,「花火」～「満天プラネタリウム」(メドレー),黒薔薇保存会
2008,2,12,ヒカリ（黒薔薇ver.）,黒薔薇保存会
2008,2,13,Feel so Easy!,桃井はるこ
2008,2,14,LOVE.EXE,桃井はるこ
2008,2,15,天罰！エンジェルラビィ,UNDER17(桃井はるこ+小池雅也)+MOSAIC.WAV
2008,2,16,最強○×計画,MOSAIC.WAV
2008,2,17,ガチャガチャきゅっ～と・ふぃぎゅ＠メイト,MOSAIC.WAV
2008,2,18,「true my heart」～「Iris」～「ラブリー☆えんじぇる！！」（メドレー）,ave;new feat.佐倉紗織
2008,2,19,魔理沙は大変なものを盗んでいきました,miko（IOSYS）
2008,2,20,鳥の詩,Lia
2008,2,21,「GO MY WAY!!」～「キラメキラリ」～「relations」～「エージェント夜を往く」～「Do-Dai」～「蒼い鳥」～「GO MY WAY!!」（メドレー）,中村繪里子・今井麻美・たかはし智秋・下田麻美 from THE IDOLM@STER
2008,2,22,THE IDOLM@STER,中村繪里子・今井麻美・たかはし智秋・下田麻美 from THE IDOLM@STER
2008,2,23,真赤な誓い,福山芳樹
2008,2,24,ノーザンクロス,May'n
2008,2,25,射手座☆午後九時Don't be late,May'n
2008,2,26,"Precious Time,Glory Days",サイキックラバー
2008,2,27,鼓動～get closer～,サイキックラバー
2008,2,28,LOVE★GUN,平野綾
2008,2,29,Unnamed world,平野綾
2008,2,30,アンインストール,石川智晶
2008,2,31,Proto type,石川智晶
2008,2,32,「あんなに一緒だったのに」～「嵐の中で輝いて」,米倉千尋+石川智晶
2008,2,33,永遠の扉,米倉千尋
2008,2,34,FRIENDS,米倉千尋
2008,2,35,No Border,JAM Project
2008,2,36,Rocks,JAM Project
2008,2,37,SKILL,JAM Project
2008,2,38,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト
2008,2,39,OUTRIDE,アニサマ2008出演アーティスト
2008,2,40,Yells ～It's a beautiful life～,アニサマ2008出演アーティスト
