Year,Day,Number,TrackName,ArtistName
2009,1,01,残酷な天使のテーゼ,石川智晶+angela
2009,1,02,Spiral,angela
2009,1,03,Shangri-La,angela
2009,1,04,F.D.D,いとうかなこ
2009,1,05,追想のディスペア,いとうかなこ
2009,1,06,愛のメディスン　～アニサマバージョン～,桃井はるこ
2009,1,07,WONDER MOMO-i ～World tour version～,桃井はるこ
2009,1,08,マイペース大王,桃井はるこ+manzo
2009,1,09,溝ノ口太陽族,manzo
2009,1,10,続・溝ノ口太陽族,manzo
2009,1,11,Endless Tears...,彩音
2009,1,12,コンプレックス・イマージュ,彩音
2009,1,13,Wonder Wind,ELISA
2009,1,14,ebullient future -アニサマVer-,ELISA
2009,1,15,ココロ,下田麻美
2009,1,16,｢みくみくにしてあげる♪｣【してやんよ】,初音ミク
2009,1,17,ブラック★ロックシューター,初音ミク
2009,1,18,"Help me, ERINNNNNN!!",ビートまりお(COOL&CREATE)
2009,1,19,tRANCE,GRANRODEO
2009,1,20,modern strange cowboy,GRANRODEO
2009,1,21,JET!!～バニラソルト,堀江由衣
2009,1,22,YAHHO!!,堀江由衣
2009,1,23,ハッピー☆マテリアル,堀江由衣+茅原実里
2009,1,24,First Pain,石川智晶
2009,1,25,Prototype,石川智晶
2009,1,26,J☆S,宮野真守
2009,1,27,Discovery,宮野真守
2009,1,28,キミシニタモウコトナカレ,May'n
2009,1,29,ダイアモンドクレバス,May'n
2009,1,30,ミラクル・アッパーWL,May'n+奥井雅美
2009,1,31,空色デイズ,中川翔子（特別出演）
2009,1,32,涙の種、笑顔の花,中川翔子（特別出演）
2009,1,33,WHAT'S UP GUYS?,栗林みな実+谷山紀章
2009,1,34,鬼帝の剣,ALI PROJECT
2009,1,35,戦慄の子供たち,ALI PROJECT
2009,1,36,地獄の門,ALI PROJECT
2009,1,37,Voyager train,茅原実里
2009,1,38,Tomorrow's chance,茅原実里
2009,1,39,Paradise Lost,茅原実里
2009,1,40,Precious Memories,栗林みな実
2009,1,41,涙の理由,栗林みな実
2009,1,42,sympathizer,栗林みな実
2009,1,43,Crest of "Z's",JAM Project（影山ヒロノブ、遠藤正明、きただにひろし、奥井雅美、福山芳樹）
2009,1,44,守護神-The guardian,JAM Project（影山ヒロノブ、遠藤正明、きただにひろし、奥井雅美、福山芳樹）
2009,1,45,レスキューファイアー,JAM Project（影山ヒロノブ、遠藤正明、きただにひろし、奥井雅美、福山芳樹）
2009,1,46,SKILL,JAM Project（影山ヒロノブ、遠藤正明、きただにひろし、奥井雅美、福山芳樹）
2009,1,47,RE:BRIDGE～Return to oneself～,アニサマ09テーマソング
2009,1,48,OUTRIDE,アニサマ06テーマソング
2009,1,49,RE:BRIDGE～Return to oneself～,アニサマ09テーマソング
2009,2,01,DISCOTHEQUE～MonStAR,水樹奈々+平野綾
2009,2,02,Super Driver,平野綾
2009,2,03,Set me free,平野綾
2009,2,04,約束の場所へ,米倉千尋
2009,2,05,10 YEARS AFTER,米倉千尋
2009,2,06,そして僕は…,榊原ゆい
2009,2,07,恋の炎,榊原ゆい
2009,2,08,霊喰い,妖精帝國
2009,2,09,last Moment,妖精帝國
2009,2,10,人として軸がぶれている,大槻ケンヂと絶望少女達
2009,2,11,空想ルンバ,大槻ケンヂと絶望少女達
2009,2,12,林檎もぎれビーム!,大槻ケンヂと絶望少女達
2009,2,13,CHA-LA HEAD-CHA-LA,影山ヒロノブ
2009,2,14,聖闘士神話-SOLDIER DREAM-,影山ヒロノブ
2009,2,15,Parallel Hearts,FictionJunction
2009,2,16,暁の車,FictionJunction
2009,2,17,nowhere,FictionJunction
2009,2,18,Return to Love,近江知永
2009,2,19,Maze,savage genius feat.近江知永
2009,2,20,私をみつけて。,savage genius
2009,2,21,Dark Side of the Light,飛蘭
2009,2,22,mind as Judgment,飛蘭
2009,2,23,魂のルフラン,飛蘭+奥井雅美
2009,2,24,LOVE SHIELD,奥井雅美
2009,2,25,舞い落ちる雪のように,Suara
2009,2,26,Free and Dream,Suara
2009,2,27,DANZEN!ふたりはプリキュア （ver.Max Heart）,田村ゆかり+新谷良子
2009,2,28,LOST IN SPACE,サイキックラバー
2009,2,29,THE IDOLM@STER,中村繪里子・今井麻美・仁後真耶子 from THE IDOLM@STER
2009,2,30,キラメキラリ,中村繪里子・今井麻美・仁後真耶子 from THE IDOLM@STER
2009,2,31,my song,中村繪里子・今井麻美・仁後真耶子 from THE IDOLM@STER
2009,2,32,Blazin' Beat～DOGFIGHT（メドレー）,m.o.v.e
2009,2,33,Gravity,m.o.v.e
2009,2,34,チェルシーガール,田村ゆかり
2009,2,35,Tomorrow,田村ゆかり
2009,2,36,Little Wish ～first step～,田村ゆかり
2009,2,37,哀 戦士,GACKT
2009,2,38,The Next Decade,GACKT
2009,2,39,REDEMPTION,GACKT
2009,2,40,Gimmick Game,水樹奈々
2009,2,41,深愛,水樹奈々+Suara
2009,2,42,悦楽カメリア,水樹奈々
2009,2,43,Orchestral Fantasia,水樹奈々
2009,2,44,RE:BRIDGE～Return to oneself～,アニサマ09テーマソング
2009,2,45,ONENESS,アニサマ05テーマソング
2009,2,46,RE:BRIDGE～Return to oneself～,アニサマ09テーマソング
