Year,Day,Number,TrackName,ArtistName
2016,1,01,愛をとりもどせ!!,デーモン閣下×GRANRODEO
2016,1,02,TRASH CANDY,GRANRODEO
2016,1,03,アウトサイダー,GRANRODEO
2016,1,04,Ripple Effect,春奈るな
2016,1,05,Overfly,春奈るな
2016,1,06,Shining Star-☆-LOVE Letter,井口裕香
2016,1,07,Lostorage,井口裕香
2016,1,08,カラフルストーリー,every♥ing！
2016,1,09,ゆめいろ学院校歌,every♥ing！
2016,1,10,セルリアンスカッシュ,相坂優歌
2016,1,11,純真Always,田所あずさ
2016,1,12,ブルーウォーター,田所あずさ×i☆Ris
2016,1,13,Ready Smile!!,i☆Ris
2016,1,14,Re：Call,i☆Ris
2016,1,15,めざせポケモンマスター～OK!～ライバル！～タイプ：ワイルド～めざせポケモンマスター,松本梨香 with bless4 feat. i☆Ris
2016,1,16,innocent promise,TRUSTRICK
2016,1,17,Recall THE END,TRUSTRICK
2016,1,18,DEAD OR LIE,黒崎真音 feat. TRUSTRICK
2016,1,19,Believe,玉置成実
2016,1,20,Belief,May'n
2016,1,21,ヤマイダレdarlin’,May'n
2016,1,22,ノーザンクロス～ユニバーサル・バニー～射手座☆午後九時 Don't be late～ライオン,May'n
2016,1,23,PLANET / THE HELL,デーモン閣下
2016,1,24,Red Zone,Zwei
2016,1,25,The Beginning,山本陽介
2016,1,26,カタラレズトモ,ZAQ feat. 山本陽介
2016,1,27,割レル慟哭,ZAQ
2016,1,28,hopeness,ZAQ
2016,1,29,ALL-WAYS,山本陽介 feat. 玉置成実
2016,1,30,Sweet Sensation,村川梨衣
2016,1,31,INSIDE IDENTITY,村川梨衣×相坂優歌
2016,1,32,不安定な神様,Suara
2016,1,33,キミガタメ,Suara
2016,1,34,エクストラ・マジック・アワー,AKINO with bless4
2016,1,35,Golden Life,AKINO with bless4
2016,1,36,Genesis of Aquarion～創聖のアクエリオン,AKINO with bless4
2016,1,37,→unfinished→,KOTOKO
2016,1,38,PLASMIC FIRE,KOTOKO×ALTIMA
2016,1,39,Burst The Gravity,ALTIMA
2016,1,40,CYBER CYBER,ALTIMA
2016,1,41,M@GIC☆,アイドルマスター シンデレラガールズ
2016,1,42,ミツボシ☆☆★～ØωØver!!～Tulip～Trancing Pulse～S(mile)ING!,アイドルマスター シンデレラガールズ
2016,1,43,GOIN'!!!,アイドルマスター シンデレラガールズ
2016,1,44,お願い！シンデレラ,アイドルマスター シンデレラガールズ
2016,1,45,PASSION RIDERS,アニサマ2016出演アーティスト
2016,2,01,We Are B.B.クィーンズ～おどるポンポコリン,B.B.クィーンズ with B応P
2016,2,02,はなまるぴっぴはよいこだけ,A応P
2016,2,03,全力バタンキュー,A応P
2016,2,04,Yes! BanG_Dream!,Poppin'Party from BanG Dream!
2016,2,05,STAR BEAT!～ホシノコドウ～,Poppin'Party from BanG Dream!
2016,2,06,DREAM SOLISTER,TRUE
2016,2,07,トゥッティ！,北宇治カルテット
2016,2,08,Bravely You,Lia
2016,2,09,鳥の詩,Lia
2016,2,10,やさしい希望,早見沙織
2016,2,11,ブルーアワーに祈りを,早見沙織
2016,2,12,Checkmate!?,MICHI
2016,2,13,Hey!カロリーQueen,竹達彩奈
2016,2,14,ライスとぅミートゅー,竹達彩奈
2016,2,15,流星ドリームライン,プラズマジカ(SHOW BY ROCK!!)
2016,2,16,青春はNon-Stop！,プラズマジカ(SHOW BY ROCK!!)
2016,2,17,それが声優！,イヤホンズ
2016,2,18,あなたのお耳にプラグイン！～乙女のポリシー,イヤホンズ with 石田燿子 feat. 永井ルイ
2016,2,19,Steppin' out,FLOW
2016,2,20,BURN,FLOW
2016,2,21,風ノ唄,FLOW
2016,2,22,GO!!!,FLOW
2016,2,23,虹を編めたら,fhána
2016,2,24,calling,fhána
2016,2,25,時を刻む唄,Lia×fhána
2016,2,26,おしえてブルースカイ,大橋彩香
2016,2,27,裸足のままでもこわくない,大橋彩香
2016,2,28,Rebirth-day,高垣彩陽
2016,2,29,"Komm, süsser Tod〜甘き死よ、来たれ",高垣彩陽×早見沙織 feat.佐藤純一(fhána）
2016,2,30,Naked Dive,SCREEN mode
2016,2,31,ROUGH DIAMONDS,SCREEN mode
2016,2,32,Divine Spell,TRUE
2016,2,33,Clattanoia,OxT
2016,2,34,STRIDER'S HIGH,OxT
2016,2,35,創傷イノセンス～Resonant Heart,内田真礼
2016,2,36,ギミー！レボリューション,内田真礼
2016,2,37,Beat your Heart,鈴木このみ
2016,2,38,Love is MY RAIL,鈴木このみ
2016,2,39,Redo,鈴木このみ
2016,2,40,Crow Song,Girls Dead Monster
2016,2,41,Brave Freak Out,LiSA
2016,2,42,oath sign,LiSA
2016,2,43,シルシ,LiSA
2016,2,44,PASSION RIDERS,アニサマ2016出演アーティスト
2016,3,01,混ぜるな危険,筋肉少女帯×angela
2016,3,02,週替わりの奇跡の神話,筋肉少女帯
2016,3,03,絶対無敵☆Fallin' LOVE☆,地球防衛部
2016,3,04,沸点突破☆LOVE IS POWER☆,地球防衛部
2016,3,05,Honey♥Come!!,小倉 唯
2016,3,06,ハイタッチ☆メモリー ,小倉 唯
2016,3,07,courage,戸松遥
2016,3,08,Q&Aリサイタル！,戸松遥
2016,3,09,片想い接近,飯田里穂
2016,3,10,Melody,Pile
2016,3,11,伝説のFLARE～ドリームトリガー,Pile
2016,3,12,Light for Knight,三森すずこ
2016,3,13,ユニバーページ,三森すずこ
2016,3,14,青春は食べ物です,petit milady
2016,3,15,azurite,petit milady
2016,3,16,もってけ！セーラーふく,ゆいかおり×petit milady
2016,3,17,X-encounter ,黒崎真音
2016,3,18,楽園の翼,黒崎真音
2016,3,19,Z・刻をこえて,鮎川麻弥
2016,3,20,Patria,Minami
2016,3,21,時すでに始まりを刻む,Minami
2016,3,22,chase,batta
2016,3,23,Crazy Noisy Bizarre Town,THE DU
2016,3,24,Ring Ring Rainbow!!,ゆいかおり
2016,3,25,Promise You!!,ゆいかおり
2016,3,26,whiz,TrySail
2016,3,27,High Free Spirits,TrySail
2016,3,28,Brand-new World,西沢幸奏
2016,3,29,The Asterisk War,西沢幸奏
2016,3,30,Night Drivin’ ,小野賢章
2016,3,31,STORY,小野賢章
2016,3,32,叫べ,沼倉愛美
2016,3,33,Believe,沼倉愛美×三森すずこ
2016,3,34,SAVIOR OF SONG,ナノ
2016,3,35,Rock on.,ナノ
2016,3,36,絶世スターゲイト,蒼井翔太
2016,3,37,イノセント,蒼井翔太
2016,3,38,波羅蜜恋華,ALI PROJECT
2016,3,39,緋ノ糸輪廻ノGEMINI ,ALI PROJECT feat. petit milady
2016,3,40,亡國覚醒カタルシス,ALI PROJECT
2016,3,41,DEAD OR ALIVE,angela
2016,3,42,KINGS～蒼い春～Peace of mind～Shangri-La～騎士行進曲,angela
2016,3,43,シドニア,angela
2016,3,44,PASSION RIDERS,アニサマ2016出演アーティスト
