Year,Day,Number,TrackName,ArtistName
2019,1,1,ようこそジャパリパークへ,けものフレンズ×i☆RiSphere
2019,1,2,乗ってけ！ジャパリビート～け・も・の・だ・も・の,けものフレンズ with オーイシマサヨシ
2019,1,3,Shocking Blue,伊藤美来
2019,1,4,閃きハートビート,伊藤美来 feat. 佐藤純一(fhána)
2019,1,5,Ray Rule,石原夏織
2019,1,6,TEMPEST,石原夏織
2019,1,7,Grand symphony,佐咲紗花
2019,1,8,あんこう音頭～High-Flying Future!!,佐咲紗花
2019,1,9,Enter Enter MISSION！,佐咲紗花×渕上 舞
2019,1,10,BLACK CAT,渕上 舞
2019,1,11,Lost Princess,アニメロサマープリンセス from プリンセスコネクト！Re:Dive
2019,1,12,Connecting Happy!!,アニメロサマープリンセス from プリンセスコネクト！Re:Dive
2019,1,13,限界突破×サバイバー,氷川きよし
2019,1,14,TOUGH BOY,氷川きよし
2019,1,15,TRY UNITE!,中島 愛×石原夏織
2019,1,16,ORDINARY LOVE,逢田梨香子
2019,1,17,蒼い鳥（M@STER VERSION),如月千早 feat. ピアニート公爵
2019,1,18,グローリー！,三森すずこ×オーイシマサヨシ
2019,1,19,ファッとして桃源郷,三森すずこ×石原夏織
2019,1,20,ドキドキトキドキトキメキス♡,芹澤優♡→三森すずこ←♡大坪由佳
2019,1,21,ユニバーページ,三森すずこ×渕上 舞
2019,1,22,会いたいよ...会いたいよ！,三森すずこ
2019,1,23,楽園都市,オーイシマサヨシ
2019,1,24,オトモダチフィルム,オーイシマサヨシ×オーハシアヤカ
2019,1,25,forget-me-not,ReoNa
2019,1,26,虹の彼方に,ReoNa
2019,1,27,幻想曲WONDERLAND,i☆Ris
2019,1,28,Endless Notes,i☆Ris
2019,1,29,アルティメット☆MAGIC,i☆Ris
2019,1,30,ワタシノセカイ,中島 愛
2019,1,31,Bitter Sweet Harmony,中島 愛
2019,1,32,ラブ・ドラマティック,鈴木雅之 feat. スフィア
2019,1,33,違う、そうじゃない～め組のひと,鈴木雅之 feat. スフィア
2019,1,34,LOUDER～BLACK SHOUT,Roselia
2019,1,35,BRAVE JEWEL,Roselia
2019,1,36,This game,Roselia feat. Konomi Suzuki
2019,1,37,真理の鏡、剣乃ように,鈴木このみ
2019,1,38,蒼の彼方,鈴木このみ
2019,1,39,DAYS of DASH,鈴木このみ
2019,1,40,divine intervention,fhána
2019,1,41,青空のラプソディ,fhána with あにさまフレンズ
2019,1,42,きみは帰る場所,fhána feat. Gothic×Luck
2019,1,43,僕を見つけて,fhána
2019,1,44,MOON SIGNAL,スフィア
2019,1,45,Music Power→!!!!,スフィア
2019,1,46,Now loading...SKY!!,スフィア
2019,1,47,LET・ME・DO!!,スフィア
2019,1,48,CROSSING STORIES,アニサマ2019出演アーティスト
2019,2,1,Paradise Lost,茅原実里×TRUE
